50_11, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,122,122,129,130,133,138,1,124,129,131,132,135,1,122,122,122,122,132,1,122,122,122,122,128,1
4,97,98,100,101,103,105,1,97,100,102,103,106,1,98,98,98,98,103,1,97,98,98,98,100,1
8,97,97,97,97,97,103,1,97,97,97,97,97,1,97,97,97,97,98,1,97,97,97,97,100,1
16,97,97,97,97,97,101,1,97,97,97,97,97,1,97,97,97,97,99,1,97,97,97,97,99,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0011.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 28626
#   Tasks             : 50 (+dummy tasks : 2)
#   Edges             : 249 / 1225 (+dummy edges : 10)
#   Max. Predecessors : 16
#   Min. Predecessors : 0
#   Ave. Predecessors : 4.980000
#   Probability       : 0.185786 (Real : 0.203265)
# Task processing time generator : expoproc
#   Random Seed       : 28625
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 4.860000)
# CP Length           : 97
# Parallelism         : 2.505155
