100_88, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,531,570,592,599,607,626,1,572,590,600,605,627,1,545,550,551,553,567,1,544,544,544,544,546,1
4,480,480,480,481,482,482,1,480,480,480,481,482,1,480,480,480,480,482,1,480,480,480,480,483,1
8,480,480,480,480,480,480,1,480,480,480,480,480,1,480,480,480,480,482,1,480,480,480,480,482,1
16,480,480,480,480,480,480,1,480,480,480,480,480,1,480,480,480,480,482,1,480,480,480,480,482,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0088.stg
# Precedence constraints generator : samepred
#   Random Seed       : 13
#   Tasks             : 100 (+dummy tasks : 2)
#   Edges             : 1513 / 4950 (+dummy edges : 5)
#   Max. Predecessors : 43
#   Min. Predecessors : 0
#   Ave. Predecessors : 15.000000 (Real : 15.130000)
# Task processing time generator : normproc
#   Random Seed       : 12
#   Max. Proc. Time   : 16
#   Min. Proc. Time   : 4
#   Ave. Proc. Time   : 10.000000 (Real : 10.030000)
#   Standard Deviation: 3.000000
# CP Length           : 480
# Parallelism         : 2.089583
